event_name,team,event_date,event_time,season_name,plan,total_events,game_number,default_ticket_template_name,returnable,enabled,onsale_datetime,offsale_datetime,oss_onsale_datetime,oss_offsale_datetime,fror_seat_list_name,fror_min_seats,fror_max_seats,fror_assignment_type,fror_alert_text,fror_onsale_datetime,fror_offsale_datetime,plan_abv,barcode_status,barcode_event_slots,barcode_max_seats_per_row,event_line1,event_line2,event_line3,event_line4,event_line5,event_line6,event_line7,event_line8,event_line9,event_line10,inet_line1,inet_line2,inet_line3,inet_line4,inet_line5,inet_line6,inet_line7,inet_line8,inet_line9,inet_line10,auto_add_membership_name1,auto_add_membership_name2,auto_add_membership_name3,membership_reqd,pc_membership_reqd,ledger_code
250808HC,11. Boston,8/8/2025,20:00:00,25.11UP Boston Upsell,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,32,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250809HC,11. Boston,8/9/2025,20:00:00,25.11UP Boston Upsell,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,32,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25CHMG1,07. Chicago,7/11/2025,19:00:00,25.07UP Chicago Upsell,N,1,,,Y,Y,,,,,,,,S,,,,EXP,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25CHMG2,07. Chicago,7/12/2025,19:00:00,25.07UP Chicago Upsell,N,1,,,Y,Y,,,,,,,,S,,,,EXP,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250530H,01. Albany,5/30/2025,18:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250801,10. Denver,8/1/2025,18:00:00,25.10 Denver Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250802A,10. Denver,8/2/2025,11:00:00,25.10 Denver Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250802E,10. Denver,8/2/2025,18:00:00,25.10 Denver Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250621H,04. Baltimore,6/21/2025,16:00:00,25.04UP Baltimore Upsell,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250622H,04. Baltimore,6/22/2025,12:00:00,25.04UP Baltimore Upsell,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250211HC,00. Champ Series,2/11/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250212HC,00. Champ Series,2/12/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250213HC,00. Champ Series,2/13/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250214HC,00. Champ Series,2/14/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25215HCA,00. Champ Series,2/15/2025,12:30:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25CSALL,00. Champ Series,2/11/2025,23:59:00,25.00 Champ Series - TSJ,Y,9,,Ticket,N,N,,,12/11/2024 00:00,2/11/2025 23:59,,,,S,,,,FS,N,1,,,,,,,,,,,,,,,,,,,,,,2025,CHAMPSERIES,HOMEPASS,N,N,GEN
25215HCE,00. Champ Series,2/15/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25216HCA,00. Champ Series,2/16/2025,10:30:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25216HCE,00. Champ Series,2/16/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250217HC,00. Champ Series,2/17/2025,11:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
24PHP,2024 Philly Homecoming,6/15/2024,23:59:00,2024 Philly Nova Season,Y,3,,,Y,Y,,,,,,,,S,,,,FS,N,2,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
24PDAY1,2024 Philly  Day 1 Game 1,6/15/2024,12:30:00,2024 Philly Nova Season,N,1,1,,Y,Y,,,,,,,,S,,,,E,Y,2,50,PREMIER LACROSSE LEAGUE,,Boston Cannons vs. Philly Waterdogs,,Villanova Satdium,"Saturday, June 15, 2024 - 12:30 PM",,,,02006092B82C479B,PREMIER LACROSSE LEAGUE,,Boston Cannons vs. Philly Waterdogs,,Villanova Satdium,"Saturday, June 15, 2024 - 12:30 PM",,,,,,,,N,N,GEN
24PDAY3,2024 Philadelphia Day 2,6/16/2024,12:30:00,2024 Philly Nova Season,N,1,1,,Y,Y,,,,,,,,S,,,,E,Y,2,50,PREMIER LACROSSE LEAGUE,Game 1: Cali Redwoods vs. New York Atlas,Game 2: MD Whipsnakes vs. Philly Waterdogs,,Villanova Stadium,"Sunday, June 16, 2024 - 12:30 & 3:00 PM",,,,02006092B83247B3,PREMIER LACROSSE LEAGUE,Game 1: Cali Redwoods vs. New York Atlas,Game 2: MD Whipsnakes vs. Philly Waterdogs,,Villanova Stadium,"Sunday, June 16, 2024 - 12:30 & 3:00 PM",,,,,,,,N,N,GEN
25AUPG,TEST,5/30/2025,23:59:00,25.01 Albany Season,Y,2,,,N,N,,,2/9/2025 00:00,2/9/2025 23:59,,,,S,,,,PAP,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250211,00. Champ Series,2/11/2025,19:00:00,25.00 Champ Series - TSJ,N,1,1,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,WLL CHARM VS CHARGING,PLL WHIPSNAKES VS ATLAS,,The St. James,"Tuesday, February 11, 2025 7 & 9 PM",,,,1500617AC47F300A,2025 LEXUS CHAMPIONSHIP SERIES,WLL CHARM VS CHARGING,PLL WHIPSNAKES VS ATLAS,,The St. James,"Tuesday, February 11, 2025 7 & 9 PM",,,,,2025,,,N,N,GEN
25APRO,Players Tour,5/28/2025,19:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,SPE,Y,1,50,,,,,,,,,,0000623EDE0E5D87,,,,,,,,,,,,,,N,N,GEN
25CPRO,Players Tour,6/7/2025,09:00:00,25.02UP Charlotte Upsell,N,1,,,Y,Y,,,,,,,,S,,,,SPE,Y,1,50,,,,,,,,,,2D006243A6512945,,,,,,,,,,,,,,N,N,GEN
25PPRO,Players Tour,6/14/2025,09:00:00,25.03UP Philadelphia Upsell,N,1,,,Y,Y,,,,,,,,S,,,,SPE,Y,1,32,,,,,,,,,,02006243AC301D1A,,,,,,,,,,,,,,N,N,GEN
25BPRO,Players Tour,6/22/2025,09:00:00,25.04UP Baltimore Upsell,N,1,,,Y,Y,,,,,,,,S,,,,SPE,Y,1,50,,,,,,,,,,15006243C16820F9,,,,,,,,,,,,,,N,N,GEN
25SDPRO,Players Tour,6/10/2025,18:00:00,25.05UP San Diego Upsell,N,1,,,Y,Y,,,,,,,,S,,,,SPE,Y,1,50,,,,,,,,,,0A0062439EF914B1,,,,,,,,,,,,,,N,N,GEN
250211FP,00. Champ Series,2/11/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25SLPRO,Players Tour,7/8/2025,20:00:00,25.09UP Salt Lake City Upsell,N,1,,,Y,Y,,,,,,,,S,,,,SPE,Y,1,50,,,,,,,,,,1E006243ADE31B21,,,,,,,,,,,,,,N,N,GEN
25BSPRO,Players Tour,8/9/2025,15:30:00,25.11UP Boston Upsell,N,1,,,Y,Y,,,,,,,,S,,,,SPE,Y,1,32,,,,,,,,,,01006243CADE3426,,,,,,,,,,,,,,N,N,GEN
250711S,07. Chicago,7/11/2025,18:00:00,25.07 Chicago Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250712S,07. Chicago,7/12/2025,18:00:00,25.07 Chicago Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250718,08. Fairfield,7/18/2025,18:30:00,25.08 Fairfield Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25CSDEP,00. Champ Series,2/15/2025,17:30:00,25.00D Champ Series Deposits,N,1,,,Y,Y,,,,,,,,S,,,,DEP,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250719A,08. Fairfield,7/19/2025,15:00:00,25.08 Fairfield Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250719B,08. Fairfield,7/19/2025,20:00:00,25.08 Fairfield Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25CATER,Catering,9/30/2025,20:00:00,2025 Catering,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
24PDAY2,2024 Phily Day 1 Game 2,6/15/2024,19:00:00,2024 Philly Nova Season,N,1,1,,Y,Y,,,,,,,,S,,,,E,Y,2,50,PREMIER LACROSSE LEAGUE,,Utah Archers vs. Carolina Chaos,,Villanova Satdium,"Saturday, June 15, 2024 - 7:00 PM",,,,02006092B7EF473C,PREMIER LACROSSE LEAGUE,,Utah Archers vs. Carolina Chaos,TBD,Villanova Satdium,"Saturday, June 15, 2024 - 7:00 PM",,,,,,,,N,N,GEN
250901,13. Subaru Park,9/1/2025,16:00:00,25.13 Subaru Park Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25KCWP,06. Kansas City,7/4/2025,23:59:00,25.06 Kansas City ASG,Y,2,,,Y,Y,,,3/13/2025 07:00,7/4/2025 17:00,,,,S,,,,FS,N,2,,PREMIER LACROSSE LEAGUE,ALL STAR WEEKEND PASS,,CPKC STADIUM,KANSAS CITY,MULTIPLE DATES,,,,,PREMIER LACROSSE LEAGUE,ALL STAR WEEKEND PASS,,CPKC STADIUM,KANSAS CITY,MULTIPLE DATES,,,,,KANSASCITY,,2025,N,N,GEN
250212,00. Champ Series,2/12/2025,19:00:00,25.00 Champ Series - TSJ,N,1,2,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,PLL CANNONS VS ARCHERS,WLL GUARD VS PALMS,,The St. James,"Wednesday, February 12, 2025 7 & 9 PM",,,,1500617AC481300D,2025 LEXUS CHAMPIONSHIP SERIES,PLL CANNONS VS ARCHERS,WLL GUARD VS PALMS,,The St. James,"Wednesday, February 12, 2025 7 & 9 PM",,,,,2025,,,N,N,GEN
250213,00. Champ Series,2/13/2025,19:00:00,25.00 Champ Series - TSJ,N,1,3,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,PLL WHIPSNAKES VS CANNONS,WLL CHARM VS GUARD,,The St. James,"Thursday, February 13, 2025 7 & 9 PM",,,,1500617AC4823013,2025 LEXUS CHAMPIONSHIP SERIES,PLL WHIPSNAKES VS CANNONS,WLL CHARM VS GUARD,,The St. James,"Thursday, February 13, 2025 7 & 9 PM",,,,,2025,,,N,N,GEN
250214,00. Champ Series,2/14/2025,18:00:00,25.00 Champ Series - TSJ,N,1,4,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,WLL PALMS VS CHARGING,PLL ATLAS VS ARCHERS,,The St. James,"Friday, February 14, 2025 6 & 8 PM",,,,1500617AC4843030,2025 LEXUS CHAMPIONSHIP SERIES,WLL PALMS VS CHARGING,PLL ATLAS VS ARCHERS,,The St. James,"Friday, February 14, 2025 6 & 8 PM",,,,,2025,,,N,N,GEN
250215A,00. Champ Series,2/15/2025,12:30:00,25.00 Champ Series - TSJ,N,1,5,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,WLL Charm vs Palms,WLL Charging vs Guard,,The St. James,"Saturday, February 15, 2025 - 12:30 PM & 2:30 PM",,,,1500617AC486303F,2025 LEXUS CHAMPIONSHIP SERIES,WLL Charm vs Palms,WLL Charging vs Guard,,The St. James,"Saturday, February 15, 2025 - 12:30 PM & 2:30 PM",,,,,2025,,,N,N,GEN
250215E,00. Champ Series,2/15/2025,18:00:00,25.00 Champ Series - TSJ,N,1,6,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,PLL ATLAS VS CANNONS,PLL WHIPSNAKES VS ARCHERS,,The St. James,"Saturday, February 15, 2025 6 PM & 8 PM",,,,1500617AC488307F,2025 LEXUS CHAMPIONSHIP SERIES,PLL ATLAS VS CANNONS,PLL WHIPSNAKES VS ARCHERS,,The St. James,"Saturday, February 15, 2025 6 PM & 8 PM",,,,,2025,,,N,N,GEN
250216A,00. Champ Series,2/16/2025,10:30:00,25.00 Champ Series - TSJ,N,1,7,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,WLL SEMIFINALS,,,The St. James,"Sunday, February 16, 2025 10:30 AM",,,,1500617AC4893081,2025 LEXUS CHAMPIONSHIP SERIES,WLL SEMIFINALS,Game 1: TBD,,The St. James,"Sunday, February 16, 2025 10:30 AM",,,,,2025,,,N,N,GEN
250216E,00. Champ Series,2/16/2025,18:00:00,25.00 Champ Series - TSJ,N,1,8,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,PLL Semifinals,,,The St. James,"Sunday, February 16, 2025 6:00 PM",,,,1500617AC48B3085,2025 LEXUS CHAMPIONSHIP SERIES,PLL Semifinals,Game 1: TBD,,The St. James,"Sunday, February 16, 2025 6:00 PM",,,,,2025,,,N,N,GEN
250217,00. Champ Series,2/17/2025,11:00:00,25.00 Champ Series - TSJ,N,1,9,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,,WLL Championship 11 AM,PLL Championship 1:30 PM,The St. James,"Monday, February 17, 2025",,,,1500617AC48D309C,2025 LEXUS CHAMPIONSHIP SERIES,Finals,WLL Championship 11 AM,PLL Championship 1:30 PM,The St. James,"Monday, February 17, 2025",,,,,2025,,,N,N,GEN
250212FP,00. Champ Series,2/12/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250213FP,00. Champ Series,2/13/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250214FP,00. Champ Series,2/14/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25215FPA,00. Champ Series,2/15/2025,12:30:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25215FPB,00. Champ Series,2/15/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25216FPA,00. Champ Series,2/16/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25216FPB,00. Champ Series,2/16/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250914,14. Championship,9/14/2025,12:30:00,25.14 NY Championship Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250211MG,00. Champ Series,2/11/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250212MG,00. Champ Series,2/12/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250213MG,00. Champ Series,2/13/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250214MG,00. Champ Series,2/14/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25215MGA,00. Champ Series,2/15/2025,12:30:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25215MGB,00. Champ Series,2/15/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25216MGA,00. Champ Series,2/16/2025,10:30:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,Y,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25216MGB,00. Champ Series,2/16/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,Y,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25CSFLEX,00. Champ Series,2/11/2025,23:59:00,25.00 Champ Series - TSJ,Y,9,,,N,N,,,12/11/2024 00:00,2/11/2025 23:59,,,,S,,,,PAP,N,1,,,,,,,,,,,,,,,,,,,,,,2025,CHAMPSERIES,HOMEPASS,N,N,GEN
250613H,03. Philadelphia,6/13/2025,18:00:00,25.03UP Philadelphia Upsell,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,32,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250212D,2025 Champ Series Suites,2/12/2025,19:00:00,25.00SD Champ Series Suite Deposits,N,1,,,Y,Y,,,,,,,,S,,,,DEP,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250213D,2025 Champ Series Suites,2/13/2025,19:00:00,25.00SD Champ Series Suite Deposits,N,1,,,Y,Y,,,,,,,,S,,,,DEP,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250614AH,03. Philadelphia,6/14/2025,13:00:00,25.03UP Philadelphia Upsell,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,32,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250531AH,01. Albany,5/31/2025,13:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250531EH,01. Albany,5/31/2025,19:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250530M,01. Albany,5/30/2025,18:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250216ED,2025 Champ Series Suites,2/16/2025,18:00:00,25.00SD Champ Series Suite Deposits,N,1,,,Y,Y,,,,,,,,S,,,,DEP,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250531AM,01. Albany,5/31/2025,13:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
TESTPLAN,TEST,12/31/2025,23:59:00,TEST The St. James,Y,5,,,Y,Y,,,,,,,,S,,,,FS,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
TESTEVT1,TEST,12/1/2025,20:00:00,TEST The St. James,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
TESTEVT2,TEST,12/2/2025,20:00:00,TEST The St. James,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
TESTEVT3,TEST,12/3/2025,20:00:00,TEST The St. James,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
TESTEVT4,TEST,12/4/2025,20:00:00,TEST The St. James,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
TESTEVT5,TEST,12/5/2025,20:00:00,TEST The St. James,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
